date,region,tier,risk,methods,confidence,lg_ratio,thd,fc_l2l1,status,notes
2026-01-08,ridgecrest,1,0.735,1,0.50,,0.347,,PRELIMINARY,tier_capped
2026-01-08,socal_saf_mojave,1,0.413,2,0.75,,0.347,0.9944,PRELIMINARY,
2026-01-08,socal_saf_coachella,1,0.735,1,0.50,,0.347,,PRELIMINARY,tier_capped
2026-01-08,norcal_hayward,1,0.993,1,0.50,,0.361,,PRELIMINARY,tier_capped
2026-01-08,cascadia,1,0.490,2,0.75,,0.332,0.9353,PRELIMINARY,
2026-01-08,tokyo_kanto,2,0.562,2,0.75,,0.454,0.8670,PRELIMINARY,
2026-01-08,istanbul_marmara,1,1.000,1,0.50,,0.393,,PRELIMINARY,tier_capped
2026-01-08,turkey_kahramanmaras,1,1.000,1,0.50,,0.393,,PRELIMINARY,tier_capped
2026-01-09,ridgecrest,1,0.419,2,0.75,,0.373,0.9195,CONFIRMED,
2026-01-09,socal_saf_mojave,3,0.758,2,0.85,,0.373,0.1757,CONFIRMED,
2026-01-09,socal_saf_coachella,1,0.443,2,0.75,,0.373,0.9638,CONFIRMED,
2026-01-09,norcal_hayward,1,0.946,1,0.50,,0.338,,CONFIRMED,tier_capped
2026-01-09,cascadia,2,0.527,2,0.75,,0.336,0.7009,CONFIRMED,
2026-01-09,tokyo_kanto,2,0.597,2,0.75,,0.343,0.6312,CONFIRMED,
2026-01-09,istanbul_marmara,1,1.000,1,0.50,,0.449,,CONFIRMED,tier_capped
2026-01-09,turkey_kahramanmaras,1,1.000,1,0.50,,0.449,,CONFIRMED,tier_capped
2026-01-11,ridgecrest,1,0.546,1,0.50,,0.309,,PRELIMINARY,tier_capped
2026-01-11,socal_saf_mojave,1,0.546,1,0.50,,0.309,,PRELIMINARY,tier_capped
2026-01-11,socal_saf_coachella,1,0.546,1,0.50,,0.309,,PRELIMINARY,tier_capped
2026-01-11,norcal_hayward,1,0.597,1,0.50,,0.215,,CONFIRMED,tier_capped
2026-01-11,cascadia,1,0.294,2,0.80,,0.226,0.9041,PRELIMINARY,
2026-01-11,tokyo_kanto,1,0.441,2,0.75,,0.197,0.9109,PRELIMINARY,
2026-01-11,istanbul_marmara,2,0.555,2,0.75,,0.372,0.6782,PRELIMINARY,
2026-01-11,turkey_kahramanmaras,1,1.000,1,0.50,,0.372,,PRELIMINARY,tier_capped
2026-01-11,campi_flegrei,0,0.200,1,0.50,,,0.3190,PRELIMINARY,
2026-01-10,ridgecrest,1,0.577,1,0.50,,0.315,,CONFIRMED,tier_capped
2026-01-10,socal_saf_mojave,1,0.340,2,0.75,,0.315,0.9522,CONFIRMED,
2026-01-10,socal_saf_coachella,1,0.577,1,0.50,,0.315,,CONFIRMED,tier_capped
2026-01-10,norcal_hayward,1,0.852,1,0.50,,0.291,,CONFIRMED,tier_capped
2026-01-10,cascadia,1,0.489,2,0.75,,0.285,0.6195,CONFIRMED,
2026-01-10,tokyo_kanto,2,0.548,2,0.75,,0.439,0.9766,CONFIRMED,
2026-01-10,istanbul_marmara,2,0.555,2,0.75,,0.481,0.6769,CONFIRMED,
2026-01-10,turkey_kahramanmaras,2,0.523,2,0.75,,0.481,0.9393,CONFIRMED,
2026-01-10,campi_flegrei,1,0.443,2,0.75,100.0,,0.5401,PRELIMINARY,
2026-01-12,ridgecrest,2,0.531,3,0.60,28.7,0.392,0.6695,CONFIRMED,
2026-01-12,socal_saf_mojave,0,0.118,3,0.80,0.4,0.392,0.8341,PRELIMINARY,
2026-01-12,socal_saf_coachella,0,0.138,2,0.80,0.5,0.392,,PRELIMINARY,
2026-01-12,norcal_hayward,3,0.945,2,0.85,21.9,0.439,,CONFIRMED,
2026-01-12,cascadia,2,0.529,3,0.60,19.7,0.346,0.9986,CONFIRMED,
2026-01-12,tokyo_kanto,0,0.049,2,0.80,0.2,,0.9058,PRELIMINARY,
2026-01-12,istanbul_marmara,0,0.037,3,0.80,0.1,0.212,0.7670,PRELIMINARY,
2026-01-12,turkey_kahramanmaras,0,0.054,2,0.80,,0.212,0.8242,PRELIMINARY,
2026-01-12,campi_flegrei,0,0.182,2,0.80,0.7,,0.2123,PRELIMINARY,
2026-01-14,ridgecrest,0,0.220,3,0.80,1.7,0.357,0.3533,PRELIMINARY,
2026-01-13,ridgecrest,1,0.391,3,0.60,1.7,0.547,0.8927,PRELIMINARY,
2026-01-13,socal_saf_mojave,1,0.396,2,0.75,0.1,0.547,,PRELIMINARY,
2026-01-13,socal_saf_coachella,1,0.396,2,0.75,0.2,0.547,,PRELIMINARY,
2026-01-13,norcal_hayward,1,0.497,2,0.75,1.3,0.621,,PRELIMINARY,
2026-01-13,cascadia,1,0.327,3,0.60,0.2,0.609,0.9999,PRELIMINARY,
2026-01-13,tokyo_kanto,0,0.042,2,0.80,0.1,,0.9671,PRELIMINARY,
2026-01-13,istanbul_marmara,0,0.028,3,0.80,0.1,0.211,0.8871,PRELIMINARY,
2026-01-13,turkey_kahramanmaras,0,0.046,2,0.80,,0.211,0.8855,PRELIMINARY,
2026-01-13,campi_flegrei,0,0.060,2,0.80,0.4,,0.5618,PRELIMINARY,
